2021-06-30 10:06:902 INFO  DesktopPage :21 - Getting text from : [[ChromeDriver: chrome on WINDOWS (0832d4e93bbc21cec751ead5d1236cc9)] -> xpath: //div[@class='page-title']//h1]
2021-06-30 10:06:421 INFO  BasePage :32 - Launching Chrome Browser 
2021-06-30 10:06:243 INFO  HomePage :23 - Hovering on Computer Menu --> [[ChromeDriver: chrome on WINDOWS (164d068ad83d6c0e1f7f9f200d2c6a2e)] -> xpath: //body/div[6]/div[2]/ul[1]/li[1]/a[1]]
2021-06-30 10:06:916 INFO  HomePage :30 - Click on Desktop Menu --> [[ChromeDriver: chrome on WINDOWS (164d068ad83d6c0e1f7f9f200d2c6a2e)] -> xpath: //body/div[6]/div[2]/ul[1]/li[1]/ul[1]/li[1]/a[1]]
2021-06-30 10:06:963 INFO  DesktopPage :21 - Getting text from : [[ChromeDriver: chrome on WINDOWS (164d068ad83d6c0e1f7f9f200d2c6a2e)] -> xpath: //div[@class='page-title']//h1]
2021-06-30 10:06:140 INFO  DesktopPage :28 - Click on Add to Cart Menu --> [[ChromeDriver: chrome on WINDOWS (164d068ad83d6c0e1f7f9f200d2c6a2e)] -> xpath: //body/div[6]/div[3]/div[1]/div[3]/div[1]/div[2]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[2]/div[3]/div[2]/button[1]]
2021-06-30 10:06:756 INFO  BuildYourOwnComputerPage :18 - Getting text from : [[ChromeDriver: chrome on WINDOWS (164d068ad83d6c0e1f7f9f200d2c6a2e)] -> xpath: //h1[contains(text(),'Build your own computer')]]
2021-06-30 10:06:806 INFO  BasePage :32 - Launching Chrome Browser 
2021-06-30 10:06:985 INFO  HomePage :23 - Hovering on Computer Menu --> [[ChromeDriver: chrome on WINDOWS (87be65d2783b88a3b6678a67fc65b1f8)] -> xpath: //body/div[6]/div[2]/ul[1]/li[1]/a[1]]
2021-06-30 10:06:106 INFO  HomePage :30 - Click on Desktop Menu --> [[ChromeDriver: chrome on WINDOWS (87be65d2783b88a3b6678a67fc65b1f8)] -> xpath: //body/div[6]/div[2]/ul[1]/li[1]/ul[1]/li[1]/a[1]]
2021-06-30 10:06:162 INFO  DesktopPage :21 - Getting text from : [[ChromeDriver: chrome on WINDOWS (87be65d2783b88a3b6678a67fc65b1f8)] -> xpath: //div[@class='page-title']//h1]
2021-06-30 11:06:346 INFO  BasePage :32 - Launching Chrome Browser 
2021-06-30 11:06:451 INFO  HomePage :23 - Hovering on Computer Menu --> [[ChromeDriver: chrome on WINDOWS (216bca14fa61ed3808c9099ac62f03ba)] -> xpath: //body/div[6]/div[2]/ul[1]/li[1]/a[1]]
2021-06-30 11:06:824 INFO  HomePage :30 - Click on Desktop Menu --> [[ChromeDriver: chrome on WINDOWS (216bca14fa61ed3808c9099ac62f03ba)] -> xpath: //body/div[6]/div[2]/ul[1]/li[1]/ul[1]/li[1]/a[1]]
2021-06-30 11:06:859 INFO  DesktopPage :21 - Getting text from : [[ChromeDriver: chrome on WINDOWS (216bca14fa61ed3808c9099ac62f03ba)] -> xpath: //div[@class='page-title']//h1]
2021-06-30 11:06:217 INFO  BasePage :32 - Launching Chrome Browser 
2021-06-30 11:06:728 INFO  HomePage :23 - Hovering on Computer Menu --> [[ChromeDriver: chrome on WINDOWS (144323875b5932c5357cef1e1f01b83f)] -> xpath: //body/div[6]/div[2]/ul[1]/li[1]/a[1]]
2021-06-30 11:06:184 INFO  HomePage :30 - Click on Desktop Menu --> [[ChromeDriver: chrome on WINDOWS (144323875b5932c5357cef1e1f01b83f)] -> xpath: //body/div[6]/div[2]/ul[1]/li[1]/ul[1]/li[1]/a[1]]
2021-06-30 11:06:219 INFO  DesktopPage :21 - Getting text from : [[ChromeDriver: chrome on WINDOWS (144323875b5932c5357cef1e1f01b83f)] -> xpath: //div[@class='page-title']//h1]
